0,20000,7418.72,7980.3,8334.98,8571.43,8778.33,9044.33
20000,30000,13093.6,14098.52,14719.21,15162.56,15517.24,15990.15
30000,40000,16197.04,17408.87,18147.78,18709.36,19152.71,19743.84
40000,50000,18916.26,20334.98,21221.67,21871.92,22374.38,23083.74
50000,60000,21399.01,23024.63,24000,24738.92,25330.05,26128.08
60000,70000,23733.99,25507.39,26600.99,27428.57,28078.82,28935.96
70000,80000,25950.74,27901.48,29113.3,30000,30709.36,31655.17
80000,90000,28019.7,30147.78,31448.28,32394.09,33162.56,34197.04
90000,100000,30029.56,32275.86,33694.58,34729.06,35527.09,36650.25
100000,120000,32689.66,35142.86,36679.8,37802.96,38689.66,39901.48
120000,140000,36413.79,39133,40847.29,42088.67,43064.04,44423.65
140000,160000,39694.58,42679.8,44512.32,45871.92,46965.52,48413.79
160000,180000,43034.48,46256.16,48236.45,49714.29,50896.55,52463.05
180000,200000,46049.26,49507.39,51635.47,53231.53,54472.91,56157.64
200000,99999999999999900000000.00,61596.06,66206.9,69073.89,71172.41,72827.59,75103.45
